casinocode,departingat,arrivingat,departingairport
ATL,6/21/2022,6/24/2022,ROC
ATL,6/22/2022,6/25/2022,DTW
ATL,6/24/2022,6/27/2022,AVL
ATL,6/25/2022,6/28/2022,FAY
ATL,6/25/2022,6/28/2022,ILM
ATL,6/26/2022,6/29/2022,DAY
ATL,6/28/2022,7/1/2022,MKE
ATL,6/29/2022,7/2/2022,LBE
ATL,7/1/2022,7/4/2022,PGV
ATL,7/2/2022,7/2/2022,MDW
ATL,7/5/2022,7/8/2022,PBI
ATL,7/7/2022,7/10/2022,CLE
ATL,7/8/2022,7/10/2022,GSO
ATL,7/10/2022,7/13/2022,BUF
ATL,7/11/2022,7/14/2022,CAE
ATL,7/13/2022,7/16/2022,PIT
ATL,7/14/2022,7/17/2022,RIC
ATL,7/14/2022,7/17/2022,ORF
ATL,7/16/2022,7/19/2022,BNA
ATL,7/17/2022,7/20/2022,MCN
ATL,7/17/2022,7/20/2022,AGS
ATL,7/19/2022,7/22/2022,PVD
ATL,7/19/2022,7/22/2022,BOS
ATL,7/20/2022,7/23/2022,CMH
ATL,7/22/2022,7/25/2022,MHT
ATL,7/22/2022,7/25/2022,PWM
ATL,7/23/2022,7/26/2022,CLT
ATL,7/25/2002,7/28/2022,CHA
ATL,7/26/2022,7/29/2022,ALB
ATL,7/26/2022,7/29/2022,BDL
ATL,7/28/2022,7/31/2022,FAY
ATL,7/28/2022,7/31/2022,ILM
GBI,5/5/2022,5/8/2022,GRR
GBI,5/6/2022,5/9/2022,LIT
GBI,5/7/2022,5/10/2022,SDF
GBI,5/10/2022,5/13/2022,IND
GBI,5/11/2022,5/14/2022,CLE
GBI,5/13/2022,5/16/2022,DFW
GBI,5/14/2022,5/17/2022,MKE
GBI,5/15/2022,5/18/2022,MYR
GBI,5/15/2022,5/18/2022,CHS
GBI,5/17/2022,5/20/2022,TRI
GBI,5/17/2022,5/20/2022,GSP
GBI,5/18/2022,5/21/2022,BWI
GBI,5/19/2022,5/22/2022,PIE
GBI,5/21/2022,5/24/2022,CLT
GBI,5/22/2022,5/25/2022,DAY
GBI,5/23/2022,5/27/2022,ABE
GBI,5/27/2022,5/30/2022,MDW
GBI,5/30/2022,6/2/2022,STL
GBI,5/31/2022,6/3/2022,EWR
GBI,6/2/2022,6/5/2022,TYS
GBI,6/3/2022,6/6/2022,SPI
GBI,6/4/2022,6/7/2022,MLB
GBI,6/6/2022,6/9/2022,FWA
GBI,6/6/2022,6/9/2022,HSV
GBI,6/7/2022,6/10/2022,MYR
GBI,6/7/2022,6/10/2022,CHS
GBI,6/11/2022,6/14/2022,RSW
GBI,6/12/2022,6/15/2022,DTW
GBI,6/14/2022,6/17/2022,IAH
GBI,6/15/2022,6/18/2022,PIE
GBI,6/16/2022,6/19/2022,GSO
GBI,6/18/2022,6/21/2022,CMH
GBI,6/19/2022,6/22/2022,CLE
GBI,6/20/2022,6/23/2022,ICT
GBI,6/20/2022,6/23/2022,OKC
GBI,6/22/2022,6/25/2022,CAE
GBI,6/23/2022,6/26/2022,PIT
GBI,6/24/2022,6/27/2022,GRB
GBI,6/26/2022,6/29/2022,IND
GBI,6/27/2022,6/30/2022,TRI
GBI,6/27/2022,6/30/2022,GSP
GBI,6/28/2022,7/1/2022,CAE
GBI,6/28/2022,7/1/2022,MCN
GBI,6/30/2022,7/3/2022,CHS
GBI,6/30/2022,7/3/2022,MYR
GBI,7/4/2022,7/7/2022,DTW
GBI,7/6/2022,7/9/2022,GRR
GBI,7/8/2022,7/11/2022,TPA
GBI,7/9/2022,7/12/2022,MCI
GBI,7/10/2022,7/13/2022,DAY
GBI,7/12/2022,7/15/2022,TYS
GBI,7/15/2022,7/15/2022,DEN
GBI,7/14/2022,7/17/2022,JAX
GBI,7/15/2022,7/18/2022,OMA
GBI,7/16/2022,7/19/2022,PHL
GBI,7/18/2022,7/21/2022,BWI
GBI,7/18/2022,7/21/2022,SGF
GBI,7/18/2022,7/21/2022,LIT
GBI,7/20/2022,7/23/2022,PIE
GBI,7/21/2022,7/24/2022,BMI
GBI,7/22/2022,7/25/2022,CAK
GBI,7/24/2022,7/27/2022,RFD
GBI,7/24/2022,7/27/2022,SDF
GBI,7/26/2022,7/29/2022,TRI
GBI,7/26/2022,7/29/2022,GSP
GBI,7/27/2022,7/30/2022,IND
GBI,7/28/2022,7/31/2022,RDU
HLT,5/4/2022,5/9/2022,BHM
HLT,5/4/2022,5/9/2022,CLE
HLT,5/4/2022,5/9/2022,IND
HLT,5/4/2022,5/9/2022,SDF
HLT,5/4/2022,5/9/2022,EWR
HLT,5/4/2022,5/9/2022,PHL
HLT,5/5/2022,5/10/2022,ATL
HLT,5/5/2022,5/8/2022,ACV
HLT,5/5/2022,5/10/2022,CLT
HLT,5/5/2022,5/10/2022,MSY
HLT,5/6/2022,5/9/2022,BFL
HLT,5/6/2022,5/10/2022,IAH
HLT,5/8/2022,5/12/2022,ACV
HLT,5/8/2022,5/13/2022,JFK
HLT,5/9/2022,5/13/2022,BFL
HLT,5/9/2022,5/14/2022,BWI
HLT,5/9/2022,5/13/2022,SAT
HLT,5/11/2022,5/16/2022,DTW
HLT,5/11/2022,5/16/2022,STL
HLT,5/12/2022,5/17/2022,BOS
HLT,5/12/2022,5/15/2022,ACV
HLT,5/12/2022,4/17/2022,ORD
HLT,5/12/2022,5/17/2022,MCO
HLT,5/12/2022,5/17/2022,PIT
HLT,5/12/2022,5/17/2022,RDU
HLT,5/13/2022,5/17/2022,AUS
HLT,5/13/2022,5/16/2022,BFL
HLT,5/13/2022,5/16/2022,DEN
HLT,5/13/2022,5/15/2022,PHX
HLT,5/15/2022,5/19/2022,ACV
HLT,5/15/2022,5/20/2022,CLT
HLT,5/16/2022,5/21/2022,ATL
HLT,5/16/2022,5/20/2022,BFL
HLT,5/16/2022,5/21/2022,CLE
HLT,5/16/2022,5/21/2022,IND
HLT,5/16/2022,5/21/2022,SDF
HLT,5/17/2022,5/22/2022,EWR
HLT,5/18/2022,5/23/2022,BWI
HLT,5/18/2022,5/23/2022,BNA
HLT,5/19/2022,5/24/2022,ATL
HLT,5/19/2022,5/22/2022,ACV
HLT,5/20/2022,5/23/2022,BFL
HLT,5/20/2022,5/24/2022,DFW
HLT,5/20/2022,5/24/2022,IAH
HLT,5/20/2022,5/24/2022,OMA
HLT,5/22/2022,5/26/2022,AUS
HLT,5/22/2022,5/26/2022,ACV
HLT,5/22/2022,5/27/2022,JFK
HLT,5/23/2022,5/27/2022,BFL
HLT,5/25/2022,5/30/2022,BUF
HLT,5/25/2022,5/30/2022,ORD
HLT,5/26/2022,5/29/2022,ACV
HLT,5/26/2022,5/31/2022,TPA
HLT,5/27/2022,5/30/2022,BFL
HLT,5/28/2022,6/2/2022,BHM
HLT,6/1/2022,6/6/2022,BWI
HLT,6/1/2022,6/6/2022,MCI
HLT,6/2/2022,6/7/2022,ATL
HLT,6/2/2022,6/7/2022,CLE
HLT,6/2/2022,6/7/2022,IND
HLT,6/2/2022,6/7/2002,EWR
HLT,6/2/2022,6/5/2022,OAK
HLT,6/2/2022,6/5/2022,ONT
HLT,6/2/2022,6/7/2022,MCO
HLT,6/2/2022,6/7/2022,RDU
HLT,6/3/2022,6/7/2022,AUS
HLT,6/3/2022,6/7/2022,DFW
HLT,6/3/2022,6/6/2022,DEN
HLT,6/3/2022,6/7/2022,IAH
HLT,6/3/2022,6/5/2022,PHX
HLT,6/5/2022,6/10/2022,JFK
HLT,6/6/2022,6/11/1955,CLT
HLT,6/8/2022,6/13/2022,BOS
HLT,6/9/2022,6/14/2022,BHM
HLT,6/9/2022,6/14/2022,ORD
HLT,6/9/2022,6/14/2022,MSY
HLT,6/9/2022,6/14/2022,PHL
HLT,6/9/2022,6/12/2022,SAN
HLT,6/9/2022,6/14/2022,TPA
HLT,6/10/2022,6/13/2022,LAS
HLT,6/10/2022,6/12/2022,LAX
HLT,6/10/2022,6/12/2022,SJC
HLT,6/10/2022,6/12/2022,OAK
HLT,6/10/2022,6/14/2022,SAT
HLT,6/10/2022,6/12/2022,SEA
HLT,6/12/2022,6/17/2022,ATL
HLT,6/13/2022,6/18/2022,ORD
HLT,6/14/2022,6/19/2022,EWR
HLT,6/15/2022,6/20/2022,BUF
HLT,6/15/2022,6/20/2022,DTW
HLT,6/15/2022,6/20/2022,STL
HLT,6/16/2022,6/21/2022,MCI
HLT,6/16/2022,6/21/2022,BNA
HLT,6/16/2022,6/20/2022,OKC
HLT,6/16/2022,6/21/2022,PIT
HLT,6/17/2022,6/21/2022,IAH
HLT,6/17/2022,6/19/2022,LAS
HLT,6/17/2022,6/20/2022,LAX
HLT,6/17/2022,6/22/2022,SDF
HLT,6/17/2022,6/20/2022,SJC
HLT,6/17/2022,6/19/2022,OAK
HLT,6/17/2022,6/19/2022,PHX
HLT,6/17/2022,6/19/2022,SAN
HLT,6/18/2022,6/23/2022,JFK
HLT,6/21/2022,6/23/2022,SEA
HLT,6/22/2022,6/27/2022,BWI
HLT,6/22/2022,6/27/2022,CLT
HLT,6/23/2022,6/28/2022,ATL
HLT,6/23/2022,6/28/2022,ORD
HLT,6/23/2022,6/28/2022,EWR
HLT,6/24/2022,6/28/2022,DFW
HLT,6/24/2022,6/27/2022,DEN
HLT,6/24/2022,6/28/2022,ELP
HLT,6/24/2022,6/26/2022,LAS
HLT,6/24/2022,6/26/2022,LAX
HLT,6/24/2022,6/26/2022,SJC
HLT,6/24/2022,6/26/2022,OAK
HLT,6/24/2022,6/28/2022,OMA
HLT,6/24/2022,6/26/2022,SAN
HLT,6/25/2022,6/29/2022,IAH
HLT,5/5/2022,5/9/2022,SHV
HLT,5/6/2022,5/10/2022,STL
HLT,5/9/2022,5/13/2022,IAH
HLT,5/12/2022,5/16/2022,TYS
HLT,5/15/2022,5/19/2022,DTW
HLT,5/18/2022,5/22/2022,DSM
HLT,5/18/2022,5/22/2022,FSD
HLT,6/4/2022,6/8/2022,CMH
HLT,6/7/2022,6/11/2022,GRB
HLT,06/088/22,6/12/2022,IND
HLT,6/11/2022,6/15/2022,GRR
HLT,6/11/2022,6/15/2022,GRI
HLT,6/12/2022,6/16/2022,MKE
HLT,6/15/2022,6/19/2022,MSP
HLT,6/18/2022,6/22/2022,DFW
HLT,6/20/2022,6/24/2022,MCI
HLT,6/23/2022,6/27/2022,MBS
HLT,6/23/2022,6/27/2022,DEN
HLT,7/14/2022,7/18/2022,MDW
HLT,7/18/2022,7/22/2022,MKE
HLT,7/20/2022,7/24/2022,DFW
HLT,7/23/2022,7/27/2022,DTW
LAU,5/7/2022,5/11/2022,MBS
LAU,5/7/2022,5/11/2022,OMA
LAU,5/8/2022,5/12/2022,CLT
LAU,5/10/2022,5/14/2022,MCI
LAU,5/11/2022,5/15/2022,MDW
LAU,5/13/2022,5/17/2022,ACT
LAU,5/13/2022,5/17/2022,ABQ
LAU,5/14/2022,5/18/2022,PIA
LAU,5/14/2022,5/18/2022,GRI
LAU,5/17/2022,5/21/2022,MFE
LAU,5/17/2022,5/21/2022,ELP
LAU,5/19/2022,5/23/2022,GRR
LAU,5/19/2022,5/23/2022,GCK
LAU,5/20/2022,5/24/2022,SDF
LAU,5/21/2022,5/25/2022,CRP
LAU,5/22/2022,5/26/2022,FAR
LAU,5/22/2022,5/26/2022,DEN
LAU,5/24/2022,5/28/2022,IND
LAU,5/25/2022,5/29/2022,SAT
LAU,5/26/2022,5/30/2022,MSP
LAU,5/27/2022,5/31/2022,CLE
LAU,5/28/2022,6/1/2022,RDU
LAU,5/29/2022,6/2/2022,GGG
LAU,5/29/2022,6/2/2022,AZA
LAU,5/30/2022,6/3/2022,EAU
LAU,5/30/2022,6/3/2022,MSN
LAU,5/31/2022,6/4/2022,SBN
LAU,5/31/2022,6/4/2022,MLI
LAU,6/1/2022,6/5/2022,GSO
LAU,6/2/2022,6/6/2022,IAH
LAU,6/3/2022,6/7/2022,CWA
LAU,6/3/2022,6/7/2022,PUB
LAU,6/5/2022,6/9/2022,CAE
LAU,6/6/2022,6/10/2022,BTR
LAU,6/6/2022,6/10/2022,AUS
LAU,6/9/2022,6/13/2022,SFB
LAU,6/10/2022,6/14/2022,BHM
LAU,6/13/2022,6/17/2022,JAX
LAU,6/13/2022,6/17/2022,SHV
LAU,6/14/2022,6/18/2022,MEM
LAU,6/16/2022,6/20/2022,STL
LAU,6/17/2022,6/21/2022,TYS
LAU,6/21/2022,6/25/2022,BNA
LAU,6/22/2022,6/26/2022,SAT
LAU,6/24/2022,6/28/2022,OMA
LAU,6/25/2022,6/29/2022,SDF
LAU,6/26/2022,6/30/2022,MFE
LAU,6/27/2022,7/1/2022,SBN
LAU,6/27/2022,7/1/2022,MLI
LAU,6/28/2022,7/2/2022,DSM
LAU,6/28/2022,7/2/2022,FSD
LAU,6/29/2022,7/3/2022,CHA
LAU,6/30/2022,7/4/2022,CRP
LAU,7/1/2022,7/5/2022,CMH
LAU,7/2/2022,7/6/2022,FAR
LAU,7/3/2022,7/7/2022,EVV
LAU,7/3/2022,7/7/2022,COS
LAU,7/4/2022,7/8/2022,MSY
LAU,7/4/2022,7/8/2022,GRK
LAU,7/5/2022,7/9/2022,CWA
LAU,7/5/2022,7/9/2022,ALO
LAU,7/6/2022,7/10/2022,MSP
LAU,7/7/2022,7/11/2022,STL
LAU,7/8/2022,7/12/2022,IAH
LAU,7/9/2022,7/13/2022,PIA
LAU,7/11/2022,7/15/2022,CVG
LAU,7/11/2022,7/15/2022,PUB
LAU,7/12/2022,7/16/2022,GGG
LAU,7/12/2022,7/16/2022,ACT
LAU,7/13/2022,7/17/2022,MSN
LAU,7/13/2022,7/17/2022,GRI
LAU,7/15/2022,7/19/2022,FWA
LAU,7/15/2022,7/19/2022,GCK
LAU,7/16/2022,7/20/2022,SAT
LAU,7/17/2022,7/21/2022,BIS
LAU,7/17/2022,7/21/2022,MOT
LAU,7/19/2022,7/23/2022,CLE
LAU,7/21/2022,7/25/2022,YEG
LAU,7/22/2022,7/26/2022,GRB
LAU,7/24/2022,7/28/2022,AUS
LAU,7/24/2022,7/28/2022,MAF
LAU,7/25/2022,7/29/2022,YEG
LAU,7/25/2022,7/29/2022,YYC
LAU,7/26/2022,7/30/2022,MBS
LAU,7/26/2022,7/30/2022,GRR
LAU,7/27/2022,7/31/2022,BUF
NOR,5/13/2022,5/16/2022,LGA
NOR,5/13/2022,5/16/2022,TPA
NOR,5/13/2022,5/16/2022,BNA
NOR,5/13/2022,5/16/2022,HOU
NOR,5/13/2022,5/16/2022,ORD
NOR,5/20/2022,5/23/2022,ATL
TAC,5/5/2022,5/8/2022,GSO
TAC,5/7/2022,5/10/2022,CAK
TAC,5/8/2022,5/11/2022,SBN
TAC,5/8/2022,5/11/2022,TOL
TAC,5/9/2022,5/12/2022,MSY
TAC,5/11/2022,5/14/2022,CMH
TAC,5/12/2022,5/15/2022,RIC
TAC,5/12/2022,5/15/2022,ORF
TAC,5/13/2022,5/16/2022,PIT
TAC,5/15/2022,5/18/2022,BUF
TAC,5/16/2022,5/19/2022,CHA
TAC,5/17/2022,5/20/2022,FWA
TAC,5/19/2022,5/22/2022,ILM
TAC,5/19/2022,5/22/2022,FAY
TAC,5/20/2022,5/23/2022,AVL
TAC,5/23/2022,5/26/2022,JAX
TAC,5/23/2022,5/26/2022,SAV
TAC,5/25/2022,5/28/2022,PWM
TAC,5/25/2022,5/28/2022,MHT
TAC,5/25/2022,5/28/2022,DTW
TAC,5/27/2022,5/30/2022,BNA
TAC,5/28/2022,5/31/2022,ALB
TAC,5/28/2022,5/31/2022,BDL
TAC,5/29/2022,6/1/2022,BOS
TAC,5/29/2022,6/1/2022,PVD
TAC,5/31/2022,6/3/2022,RFD
TAC,5/31/2022,6/3/2022,TOL
TAC,6/1/2022,6/4/2022,BFM
TAC,6/2/2022,6/5/2022,LBE
TAC,6/4/2022,6/7/2022,PGV
TAC,6/4/2022,6/7/2022,OAJ
TAC,6/5/2022,6/8/2022,MCN
TAC,6/5/2022,6/8/2022,AGS
TAC,6/6/2022,6/9/2022,LEX
TAC,6/8/2022,6/11/2022,PBI
TAC,6/9/2022,6/12/2022,CAK
TAC,6/10/2022,6/13/2022,RIC
TAC,6/10/2022,6/13/2022,ORF
TAC,6/13/2022,6/16/2022,SAV
TAC,6/13/2022,6/16/2022,ROA
TAC,6/16/2022,6/19/2022,BUF
TAC,6/17/2022,6/20/2022,LIT
TAC,6/17/2022,6/20/2022,SGF
TAC,6/18/2022,6/21/2022,RDU
TAC,6/20/2022,6/23/2022,CLT
TAC,6/21/2022,6/24/2022,SYR
TAC,6/21/2022,6/24/2022,ROC
TAC,6/22/2022,6/25/2022,DTW
TAC,6/24/2022,6/27/2022,AVL
TAC,6/25/2022,6/28/2022,FAY
TAC,6/25/2022,6/28/2022,ILM
TAC,6/26/2022,6/29/2022,DAY
TAC,6/28/2022,7/1/2022,MKE
TAC,6/29/2022,7/2/2022,LBE
TAC,7/1/2022,7/4/2022,PGV
TAC,7/2/2022,7/2/2022,MDW
TAC,7/5/2022,7/8/2022,PBI
TAC,7/7/2022,7/10/2022,CLE
TAC,7/8/2022,7/10/2022,GSO
TAC,7/10/2022,7/13/2022,BUF
TAC,7/11/2022,7/14/2022,CAE
TAC,7/13/2022,7/16/2022,PIT
TAC,7/14/2022,7/17/2022,RIC
TAC,7/14/2022,7/17/2022,ORF
TAC,7/16/2022,7/19/2022,BNA
TAC,7/17/2022,7/20/2022,MCN
TAC,7/17/2022,7/20/2022,AGS
TAC,7/19/2022,7/22/2022,PVD
TAC,7/19/2022,7/22/2022,BOS
TAC,7/20/2022,7/23/2022,CMH
TAC,7/22/2022,7/25/2022,MHT
TAC,7/22/2022,7/25/2022,PWM
TAC,7/23/2022,7/26/2022,CLT
TAC,7/25/2002,7/28/2022,CHA
TAC,7/26/2022,7/29/2022,ALB
TAC,7/26/2022,7/29/2022,BDL
TAC,7/28/2022,7/31/2022,FAY
TAC,7/28/2022,7/31/2022,ILM
TAH,5/4/2022,5/9/2022,BHM
TAH,5/4/2022,5/9/2022,CLE
TAH,5/4/2022,5/9/2022,IND
TAH,5/4/2022,5/9/2022,SDF
TAH,5/4/2022,5/9/2022,EWR
TAH,5/4/2022,5/9/2022,PHL
TAH,5/5/2022,5/10/2022,ATL
TAH,5/5/2022,5/8/2022,ACV
TAH,5/5/2022,5/10/2022,CLT
TAH,5/5/2022,5/10/2022,MSY
TAH,5/6/2022,5/9/2022,BFL
TAH,5/6/2022,5/10/2022,IAH
TAH,5/8/2022,5/12/2022,ACV
TAH,5/8/2022,5/13/2022,JFK
TAH,5/9/2022,5/13/2022,BFL
TAH,5/9/2022,5/14/2022,BWI
TAH,5/9/2022,5/13/2022,SAT
TAH,5/11/2022,5/16/2022,DTW
TAH,5/11/2022,5/16/2022,STL
TAH,5/12/2022,5/17/2022,BOS
TAH,5/12/2022,5/15/2022,ACV
TAH,5/12/2022,4/17/2022,ORD
TAH,5/12/2022,5/17/2022,MCO
TAH,5/12/2022,5/17/2022,PIT
TAH,5/12/2022,5/17/2022,RDU
TAH,5/13/2022,5/17/2022,AUS
TAH,5/13/2022,5/16/2022,BFL
TAH,5/13/2022,5/16/2022,DEN
TAH,5/13/2022,5/15/2022,PHX
TAH,5/15/2022,5/19/2022,ACV
TAH,5/15/2022,5/20/2022,CLT
TAH,5/16/2022,5/21/2022,ATL
TAH,5/16/2022,5/20/2022,BFL
TAH,5/16/2022,5/21/2022,CLE
TAH,5/16/2022,5/21/2022,IND
TAH,5/16/2022,5/21/2022,SDF
TAH,5/17/2022,5/22/2022,EWR
TAH,5/18/2022,5/23/2022,BWI
TAH,5/18/2022,5/23/2022,BNA
TAH,5/19/2022,5/24/2022,ATL
TAH,5/19/2022,5/22/2022,ACV
TAH,5/20/2022,5/23/2022,BFL
TAH,5/20/2022,5/24/2022,DFW
TAH,5/20/2022,5/24/2022,IAH
TAH,5/20/2022,5/24/2022,OMA
TAH,5/22/2022,5/26/2022,AUS
TAH,5/22/2022,5/26/2022,ACV
TAH,5/22/2022,5/27/2022,JFK
TAH,5/23/2022,5/27/2022,BFL
TAH,5/25/2022,5/30/2022,BUF
TAH,5/25/2022,5/30/2022,ORD
TAH,5/26/2022,5/29/2022,ACV
TAH,5/26/2022,5/31/2022,TPA
TAH,5/27/2022,5/30/2022,BFL
TAH,5/28/2022,6/2/2022,BHM
TAH,6/1/2022,6/6/2022,BWI
TAH,6/1/2022,6/6/2022,MCI
TAH,6/2/2022,6/7/2022,ATL
TAH,6/2/2022,6/7/2022,CLE
TAH,6/2/2022,6/7/2022,IND
TAH,6/2/2022,6/7/2002,EWR
TAH,6/2/2022,6/7/2022,MCO
TAH,6/2/2022,6/7/2022,RDU
TAH,6/3/2022,6/7/2022,AUS
TAH,6/3/2022,6/7/2022,DFW
TAH,6/3/2022,6/6/2022,DEN
TAH,6/3/2022,6/7/2022,IAH
TAH,6/3/2022,6/5/2022,PHX
TAH,6/5/2022,6/10/2022,JFK
TAH,6/6/2022,6/11/1955,CLT
TAH,6/8/2022,6/13/2022,BOS
TAH,6/9/2022,6/14/2022,BHM
TAH,6/9/2022,6/14/2022,ORD
TAH,6/9/2022,6/14/2022,MSY
TAH,6/9/2022,6/14/2022,PHL
TAH,6/9/2022,6/12/2022,SAN
TAH,6/9/2022,6/14/2022,TPA
TAH,6/10/2022,6/13/2022,LAS
TAH,6/10/2022,6/12/2022,LAX
TAH,6/10/2022,6/12/2022,SJC
TAH,6/10/2022,6/12/2022,OAK
TAH,6/10/2022,6/14/2022,SAT
TAH,6/10/2022,6/12/2022,SEA
TAH,6/12/2022,6/17/2022,ATL
TAH,6/13/2022,6/18/2022,ORD
TAH,6/14/2022,6/19/2022,EWR
TAH,6/15/2022,6/20/2022,BUF
TAH,6/15/2022,6/20/2022,DTW
TAH,6/15/2022,6/20/2022,STL
TAH,6/16/2022,6/21/2022,MCI
TAH,6/16/2022,6/21/2022,BNA
TAH,6/16/2022,6/20/2022,OKC
TAH,6/16/2022,6/21/2022,PIT
TAH,6/17/2022,6/21/2022,IAH
TAH,6/17/2022,6/19/2022,LAS
TAH,6/17/2022,6/20/2022,LAX
TAH,6/17/2022,6/22/2022,SDF
TAH,6/17/2022,6/20/2022,SJC
TAH,6/17/2022,6/19/2022,OAK
TAH,6/17/2022,6/19/2022,PHX
TAH,6/17/2022,6/19/2022,SAN
TAH,6/18/2022,6/23/2022,JFK
TAH,6/21/2022,6/23/2022,SEA
TAH,6/22/2022,6/27/2022,BWI
TAH,6/22/2022,6/27/2022,CLT
TAH,6/23/2022,6/28/2022,ATL
TAH,6/23/2022,6/28/2022,ORD
TAH,6/23/2022,6/28/2022,EWR
TAH,6/24/2022,6/28/2022,DFW
TAH,6/24/2022,6/27/2022,DEN
TAH,6/24/2022,6/28/2022,ELP
TAH,6/24/2022,6/26/2022,LAS
TAH,6/24/2022,6/26/2022,LAX
TAH,6/24/2022,6/26/2022,SJC
TAH,6/24/2022,6/26/2022,OAK
TAH,6/24/2022,6/28/2022,OMA
TAH,6/24/2022,6/26/2022,SAN
TAH,6/25/2022,6/29/2022,IAH
TAH,5/5/2022,5/9/2022,SHV
TAH,5/6/2022,5/10/2022,STL
TAH,5/9/2022,5/13/2022,IAH
TAH,5/12/2022,5/16/2022,TYS
TAH,5/15/2022,5/19/2022,DTW
TAH,5/18/2022,5/22/2022,DSM
TAH,5/18/2022,5/22/2022,FSD
TAH,6/4/2022,6/8/2022,CMH
TAH,6/7/2022,6/11/2022,GRB
TAH,06/088/22,6/12/2022,IND
TAH,6/11/2022,6/15/2022,GRR
TAH,6/11/2022,6/15/2022,GRI
TAH,6/12/2022,6/16/2022,MKE
TAH,6/15/2022,6/19/2022,MSP
TAH,6/18/2022,6/22/2022,DFW
TAH,6/20/2022,6/24/2022,MCI
TAH,6/23/2022,6/27/2022,MBS
TAH,6/23/2022,6/27/2022,DEN
TAH,7/14/2022,7/18/2022,MDW
TAH,7/18/2022,7/22/2022,MKE
TAH,7/20/2022,7/24/2022,DFW
TAH,7/23/2022,7/27/2022,DTW
TRW,5/5/2022,5/10/2022,ATL
TRW,5/5/2022,5/8/2022,ACV
TRW,5/5/2022,5/10/2022,CLT
TRW,5/5/2022,5/10/2022,MSY
TRW,5/6/2022,5/9/2022,BFL
TRW,5/6/2022,5/10/2022,IAH
TRW,5/8/2022,5/12/2022,ACV
TRW,5/8/2022,5/13/2022,JFK
TRW,5/9/2022,5/13/2022,BFL
TRW,5/9/2022,5/14/2022,BWI
TRW,5/9/2022,5/13/2022,SAT
TRW,5/11/2022,5/16/2022,DTW
TRW,5/11/2022,5/16/2022,STL
TRW,5/12/2022,5/17/2022,BOS
TRW,5/12/2022,5/15/2022,ACV
TRW,5/12/2022,4/17/2022,ORD
TRW,5/12/2022,5/17/2022,MCO
TRW,5/12/2022,5/17/2022,PIT
TRW,5/12/2022,5/17/2022,RDU
TRW,5/13/2022,5/17/2022,AUS
TRW,5/13/2022,5/16/2022,BFL
TRW,5/13/2022,5/16/2022,DEN
TRW,5/13/2022,5/15/2022,PHX
TRW,5/15/2022,5/19/2022,ACV
TRW,5/15/2022,5/20/2022,CLT
TRW,5/16/2022,5/21/2022,ATL
TRW,5/16/2022,5/20/2022,BFL
TRW,5/16/2022,5/21/2022,CLE
TRW,5/16/2022,5/21/2022,IND
TRW,5/16/2022,5/21/2022,SDF
TRW,5/17/2022,5/22/2022,EWR
TRW,5/18/2022,5/23/2022,BWI
TRW,5/18/2022,5/23/2022,BNA
TRW,5/19/2022,5/24/2022,ATL
TRW,5/19/2022,5/22/2022,ACV
TRW,5/20/2022,5/23/2022,BFL
TRW,5/20/2022,5/24/2022,DFW
