gamingresort,casinocode,departingat,arrivingat,departingairport
SILVER LEGACY RENO NV,TRW,10/21/22,10/23/22,SJC
SILVER LEGACY RENO NV,TRW,10/21/22,10/24/22,GEG
SILVER LEGACY RENO NV,TRW,10/21/22,10/25/22,DFW
SILVER LEGACY RENO NV,TRW,10/21/22,10/24/22,DEN
SILVER LEGACY RENO NV,TRW,10/21/22,10/25/22,IAH
SILVER LEGACY RENO NV,TRW,10/21/22,10/25/22,OKC
SILVER LEGACY RENO NV,TRW,10/21/22,10/25/22,OMA
SILVER LEGACY RENO NV,TRW,10/22/22,10/27/22,PHL
SILVER LEGACY RENO NV,TRW,10/22/22,10/26/22,SAT
SILVER LEGACY RENO NV,TRW,10/22/2022,10/26/2022,DTW
SILVER LEGACY RENO NV,TRW,10/23/22,10/27/22,IDA
SILVER LEGACY RENO NV,TRW,10/23/22,10/27/22,STS
SILVER LEGACY RENO NV,TRW,10/23/22,10/28/22,ATL
SILVER LEGACY RENO NV,TRW,10/23/22,10/28/22,SDF
SILVER LEGACY RENO NV,TRW,10/23/22,10/28/22,EWR
SILVER LEGACY RENO NV,TRW,10/24/22,10/28/22,BOI
SILVER LEGACY RENO NV,TRW,10/24/22,10/28/22,EUG
SILVER LEGACY RENO NV,TRW,10/24/22,10/28/22,ONT
SILVER LEGACY RENO NV,TRW,10/24/22,10/28/22,PSP
SILVER LEGACY RENO NV,TRW,10/24/22,10/28/22,PSC
SILVER LEGACY RENO NV,TRW,10/24/22,10/28/22,GEG
SILVER LEGACY RENO NV,TRW,10/24/22,10/29/22,BWI
SILVER LEGACY RENO NV,TRW,10/24/22,10/29/22,BOS
SILVER LEGACY RENO NV,TRW,10/24/22,10/29/22,STL
SILVER LEGACY RENO NV,TRW,10/24/2022,10/28/2022,TRI
SILVER LEGACY RENO NV,TRW,10/24/2022,10/28/2022,ICT
SILVER LEGACY RENO NV,TRW,10/25/22,10/27/22,SEA
SILVER LEGACY RENO NV,TRW,10/25/22,10/30/22,BUF
SILVER LEGACY RENO NV,TRW,10/25/22,10/30/22,RDU
SILVER LEGACY RENO NV,TRW,10/26/22,10/31/22,DTW
SILVER LEGACY RENO NV,TRW,10/26/22,10/31/22,IND
SILVER LEGACY RENO NV,TRW,10/26/22,10/31/22,MCO
SILVER LEGACY RENO NV,TRW,10/26/2022,10/30/2022,MBS
SILVER LEGACY RENO NV,TRW,10/26/2022,10/30/2022,GCK
SILVER LEGACY RENO NV,TRW,10/27/22,10/30/22,IDA
SILVER LEGACY RENO NV,TRW,10/27/22,10/30/22,MSP
SILVER LEGACY RENO NV,TRW,10/27/22,10/30/22,STS
SILVER LEGACY RENO NV,TRW,10/27/22,11/01/22,PIT
SILVER LEGACY RENO NV,TRW,10/27/2022,10/31/2022,SMX
SILVER LEGACY RENO NV,TRW,10/28/22,10/31/22,BOI
SILVER LEGACY RENO NV,TRW,10/28/22,10/31/22,EUG
SILVER LEGACY RENO NV,TRW,10/28/22,10/30/22,LAS
SILVER LEGACY RENO NV,TRW,10/28/22,10/30/22,LGB
SILVER LEGACY RENO NV,TRW,10/28/22,10/30/22,LAX
SILVER LEGACY RENO NV,TRW,10/28/22,10/30/22,OAK
SILVER LEGACY RENO NV,TRW,10/28/22,10/31/22,ONT
SILVER LEGACY RENO NV,TRW,10/28/22,10/31/22,PSP
SILVER LEGACY RENO NV,TRW,10/28/22,10/31/22,PSC
SILVER LEGACY RENO NV,TRW,10/28/22,10/31/22,SAN
SILVER LEGACY RENO NV,TRW,10/28/22,10/30/22,SJC
SILVER LEGACY RENO NV,TRW,10/28/22,10/31/22,GEG
SILVER LEGACY RENO NV,TRW,10/28/22,11/02/22,BHM
SILVER LEGACY RENO NV,TRW,10/28/22,11/02/22,CLT
SILVER LEGACY RENO NV,TRW,10/28/2022,11/1/2022,CAE
SILVER LEGACY RENO NV,TRW,10/29/22,11/03/22,CLE
SILVER LEGACY RENO NV,TRW,10/29/22,11/03/22,TPA
SILVER LEGACY RENO NV,TRW,10/30/22,11/03/22,IDA
SILVER LEGACY RENO NV,TRW,10/30/22,11/03/22,STS
SILVER LEGACY RENO NV,TRW,10/30/22,11/03/22,AUS
SILVER LEGACY RENO NV,TRW,10/30/22,11/03/22,OMA
SILVER LEGACY RENO NV,TRW,10/30/2022,11/3/2022,LEX
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,BOI
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,EUG
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,ONT
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,PSP
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,PSC
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,GEG
SILVER LEGACY RENO NV,TRW,10/31/22,11/05/22,MCI
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,OKC
SILVER LEGACY RENO NV,TRW,10/31/22,11/04/22,SAT
SILVER LEGACY RENO NV,TRW,11/01/22,11/06/22,ATL
SILVER LEGACY RENO NV,TRW,11/01/22,11/06/22,SDF
SILVER LEGACY RENO NV,TRW,11/01/22,11/06/22,BNA
SILVER LEGACY RENO NV,TRW,11/1/2022,11/5/2022,TYS
SILVER LEGACY RENO NV,TRW,11/02/22,11/07/22,BWI
SILVER LEGACY RENO NV,TRW,11/02/22,11/07/22,EWR
SILVER LEGACY RENO NV,TRW,11/03/22,11/06/22,IDA
SILVER LEGACY RENO NV,TRW,11/03/22,11/06/22,LGB
SILVER LEGACY RENO NV,TRW,11/03/22,11/06/22,STS
SILVER LEGACY RENO NV,TRW,11/03/22,11/08/22,BUF
SILVER LEGACY RENO NV,TRW,11/03/22,11/08/22,ORD
SILVER LEGACY RENO NV,TRW,11/03/22,11/07/22,IAH
SILVER LEGACY RENO NV,TRW,11/03/22,11/08/22,MSY
SILVER LEGACY RENO NV,TRW,11/03/22,11/08/22,MCO
SILVER LEGACY RENO NV,TRW,11/03/22,11/08/22,PHL
SILVER LEGACY RENO NV,TRW,11/03/22,11/08/22,STL
SILVER LEGACY RENO NV,TRW,11/3/2022,11/7/2022,CMH
SILVER LEGACY RENO NV,TRW,11/04/22,11/07/22,BOI
SILVER LEGACY RENO NV,TRW,11/04/22,11/08/22,ELP
SILVER LEGACY RENO NV,TRW,11/04/22,11/07/22,EUG
SILVER LEGACY RENO NV,TRW,11/04/22,11/06/22,LAS
SILVER LEGACY RENO NV,TRW,11/04/22,11/06/22,LAX
SILVER LEGACY RENO NV,TRW,11/04/22,11/07/22,OAK
SILVER LEGACY RENO NV,TRW,11/04/22,11/07/22,ONT
SILVER LEGACY RENO NV,TRW,11/04/22,11/07/22,PSP
SILVER LEGACY RENO NV,TRW,11/04/22,11/07/22,PSC
SILVER LEGACY RENO NV,TRW,11/04/22,11/06/22,SAN
SILVER LEGACY RENO NV,TRW,11/04/22,11/06/22,SJC
SILVER LEGACY RENO NV,TRW,11/04/22,11/06/22,SEA
SILVER LEGACY RENO NV,TRW,11/04/22,11/07/22,GEG
SILVER LEGACY RENO NV,TRW,11/04/22,11/08/22,DFW
SILVER LEGACY RENO NV,TRW,11/04/22,11/09/22,JFK
SILVER LEGACY RENO NV,TRW,11/04/22,11/06/22,PHX
SILVER LEGACY RENO NV,TRW,11/5/2022,11/9/2022,BHM
SILVER LEGACY RENO NV,TRW,11/06/22,11/10/22,IDA
SILVER LEGACY RENO NV,TRW,11/06/22,11/10/22,STS
SILVER LEGACY RENO NV,TRW,11/07/22,11/11/22,BOI
SILVER LEGACY RENO NV,TRW,11/07/22,11/11/22,EUG
SILVER LEGACY RENO NV,TRW,11/07/22,11/11/22,ONT
SILVER LEGACY RENO NV,TRW,11/07/22,11/11/22,PSP
SILVER LEGACY RENO NV,TRW,11/07/22,11/11/22,PSC
SILVER LEGACY RENO NV,TRW,11/07/22,11/11/22,GEG
SILVER LEGACY RENO NV,TRW,11/7/2022,11/11/2022,CRW
