Gaming Resort,casinocode,departingat,arrivingat,departingairport
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/4/2022,5/7/2022,LBE
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/5/2022,5/8/2022,GSO
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/7/2022,5/10/2022,CAK
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/8/2022,5/11/2022,SBN
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/8/2022,5/11/2022,TOL
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/9/2022,5/12/2022,MSY
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/11/2022,5/14/2022,CMH
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/12/2022,5/15/2022,RIC
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/12/2022,5/15/2022,ORF
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/13/2022,5/16/2022,PIT
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/15/2022,5/18/2022,BUF
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/16/2022,5/19/2022,CHA
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/17/2022,5/20/2022,FWA
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/19/2022,5/22/2022,ILM
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/19/2022,5/22/2022,FAY
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/20/2022,5/23/2022,AVL
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/23/2022,5/26/2022,JAX
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/23/2022,5/26/2022,SAV
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/25/2022,5/28/2022,PWM
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/25/2022,5/28/2022,MHT
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/25/2022,5/28/2022,DTW
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/27/2022,5/30/2022,BNA
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/28/2022,5/31/2022,ALB
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/28/2022,5/31/2022,BDL
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/29/2022,6/1/2022,BOS
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/29/2022,6/1/2022,PVD
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/31/2022,6/3/2022,RFD
"HARRAH'S, ATLANTIC CITY, NJ",ATL,5/31/2022,6/3/2022,TOL
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/1/2022,6/4/2022,BFM
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/2/2022,6/5/2022,LBE
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/4/2022,6/7/2022,PGV
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/4/2022,6/7/2022,OAJ
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/5/2022,6/8/2022,MCN
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/5/2022,6/8/2022,AGS
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/6/2022,6/9/2022,LEX
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/8/2022,6/11/2022,PBI
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/9/2022,6/12/2022,CAK
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/10/2022,6/13/2022,RIC
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/10/2022,6/13/2022,ORF
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/13/2022,6/16/2022,SAV
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/13/2022,6/16/2022,ROA
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/16/2022,6/19/2022,BUF
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/17/2022,6/20/2022,LIT
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/17/2022,6/20/2022,SGF
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/18/2022,6/21/2022,RDU
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/20/2022,6/23/2022,CLT
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/21/2022,6/24/2022,SYR
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/21/2022,6/24/2022,ROC
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/22/2022,6/25/2022,DTW
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/24/2022,6/27/2022,AVL
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/25/2022,6/28/2022,FAY
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/25/2022,6/28/2022,ILM
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/26/2022,6/29/2022,DAY
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/28/2022,7/1/2022,MKE
"HARRAH'S, ATLANTIC CITY, NJ",ATL,6/29/2022,7/2/2022,LBE
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/1/2022,7/4/2022,PGV
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/2/2022,7/2/2022,MDW
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/5/2022,7/8/2022,PBI
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/7/2022,7/10/2022,CLE
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/8/2022,7/10/2022,GSO
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/10/2022,7/13/2022,BUF
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/11/2022,7/14/2022,CAE
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/13/2022,7/16/2022,PIT
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/14/2022,7/17/2022,RIC
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/14/2022,7/17/2022,ORF
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/16/2022,7/19/2022,BNA
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/17/2022,7/20/2022,MCN
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/17/2022,7/20/2022,AGS
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/19/2022,7/22/2022,PVD
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/19/2022,7/22/2022,BOS
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/20/2022,7/23/2022,CMH
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/22/2022,7/25/2022,MHT
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/22/2022,7/25/2022,PWM
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/23/2022,7/26/2022,CLT
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/25/2002,7/28/2022,CHA
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/26/2022,7/29/2022,ALB
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/26/2022,7/29/2022,BDL
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/28/2022,7/31/2022,FAY
"HARRAH'S, ATLANTIC CITY, NJ",ATL,7/28/2022,7/31/2022,ILM
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/5/2022,5/8/2022,GRR
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/6/2022,5/9/2022,LIT
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/7/2022,5/10/2022,SDF
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/10/2022,5/13/2022,IND
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/11/2022,5/14/2022,CLE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/13/2022,5/16/2022,DFW
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/14/2022,5/17/2022,MKE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/15/2022,5/18/2022,MYR
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/15/2022,5/18/2022,CHS
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/17/2022,5/20/2022,TRI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/17/2022,5/20/2022,GSP
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/18/2022,5/21/2022,BWI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/19/2022,5/22/2022,PIE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/21/2022,5/24/2022,CLT
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/22/2022,5/25/2022,DAY
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/23/2022,5/27/2022,ABE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/27/2022,5/30/2022,MDW
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/30/2022,6/2/2022,STL
"HARRAH'S GULF COAST, BILOXI, MS",GBI,5/31/2022,6/3/2022,EWR
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/2/2022,6/5/2022,TYS
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/3/2022,6/6/2022,SPI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/4/2022,6/7/2022,MLB
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/6/2022,6/9/2022,FWA
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/6/2022,6/9/2022,HSV
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/7/2022,6/10/2022,MYR
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/7/2022,6/10/2022,CHS
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/11/2022,6/14/2022,RSW
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/12/2022,6/15/2022,DTW
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/14/2022,6/17/2022,IAH
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/15/2022,6/18/2022,PIE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/16/2022,6/19/2022,GSO
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/18/2022,6/21/2022,CMH
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/19/2022,6/22/2022,CLE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/20/2022,6/23/2022,ICT
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/20/2022,6/23/2022,OKC
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/22/2022,6/25/2022,CAE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/23/2022,6/26/2022,PIT
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/24/2022,6/27/2022,GRB
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/26/2022,6/29/2022,IND
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/27/2022,6/30/2022,TRI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/27/2022,6/30/2022,GSP
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/28/2022,7/1/2022,CAE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/28/2022,7/1/2022,MCN
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/30/2022,7/3/2022,CHS
"HARRAH'S GULF COAST, BILOXI, MS",GBI,6/30/2022,7/3/2022,MYR
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/4/2022,7/7/2022,DTW
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/6/2022,7/9/2022,GRR
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/8/2022,7/11/2022,TPA
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/9/2022,7/12/2022,MCI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/10/2022,7/13/2022,DAY
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/12/2022,7/15/2022,TYS
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/15/2022,7/15/2022,DEN
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/14/2022,7/17/2022,JAX
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/15/2022,7/18/2022,OMA
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/16/2022,7/19/2022,PHL
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/18/2022,7/21/2022,BWI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/18/2022,7/21/2022,SGF
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/18/2022,7/21/2022,LIT
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/20/2022,7/23/2022,PIE
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/21/2022,7/24/2022,BMI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/22/2022,7/25/2022,CAK
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/24/2022,7/27/2022,RFD
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/24/2022,7/27/2022,SDF
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/26/2022,7/29/2022,TRI
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/26/2022,7/29/2022,GSP
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/27/2022,7/30/2022,IND
"HARRAH'S GULF COAST, BILOXI, MS",GBI,7/28/2022,7/31/2022,RDU
"HARVEYS, LAKE TAHOE, NV",HLT,5/4/2022,5/9/2022,BHM
"HARVEYS, LAKE TAHOE, NV",HLT,5/4/2022,5/9/2022,CLE
"HARVEYS, LAKE TAHOE, NV",HLT,5/4/2022,5/9/2022,IND
"HARVEYS, LAKE TAHOE, NV",HLT,5/4/2022,5/9/2022,SDF
"HARVEYS, LAKE TAHOE, NV",HLT,5/4/2022,5/9/2022,EWR
"HARVEYS, LAKE TAHOE, NV",HLT,5/4/2022,5/9/2022,PHL
"HARVEYS, LAKE TAHOE, NV",HLT,5/5/2022,5/10/2022,ATL
"HARVEYS, LAKE TAHOE, NV",HLT,5/5/2022,5/8/2022,ACV
"HARVEYS, LAKE TAHOE, NV",HLT,5/5/2022,5/10/2022,CLT
"HARVEYS, LAKE TAHOE, NV",HLT,5/5/2022,5/10/2022,MSY
"HARVEYS, LAKE TAHOE, NV",HLT,5/6/2022,5/9/2022,BFL
"HARVEYS, LAKE TAHOE, NV",HLT,5/6/2022,5/10/2022,IAH
"HARVEYS, LAKE TAHOE, NV",HLT,5/8/2022,5/12/2022,ACV
"HARVEYS, LAKE TAHOE, NV",HLT,5/8/2022,5/13/2022,JFK
"HARVEYS, LAKE TAHOE, NV",HLT,5/9/2022,5/13/2022,BFL
"HARVEYS, LAKE TAHOE, NV",HLT,5/9/2022,5/14/2022,BWI
"HARVEYS, LAKE TAHOE, NV",HLT,5/9/2022,5/13/2022,SAT
"HARVEYS, LAKE TAHOE, NV",HLT,5/11/2022,5/16/2022,DTW
"HARVEYS, LAKE TAHOE, NV",HLT,5/11/2022,5/16/2022,STL
"HARVEYS, LAKE TAHOE, NV",HLT,5/12/2022,5/17/2022,BOS
"HARVEYS, LAKE TAHOE, NV",HLT,5/12/2022,5/15/2022,ACV
"HARVEYS, LAKE TAHOE, NV",HLT,5/12/2022,4/17/2022,ORD
"HARVEYS, LAKE TAHOE, NV",HLT,5/12/2022,5/17/2022,MCO
"HARVEYS, LAKE TAHOE, NV",HLT,5/12/2022,5/17/2022,PIT
"HARVEYS, LAKE TAHOE, NV",HLT,5/12/2022,5/17/2022,RDU
"HARVEYS, LAKE TAHOE, NV",HLT,5/13/2022,5/17/2022,AUS
"HARVEYS, LAKE TAHOE, NV",HLT,5/13/2022,5/16/2022,BFL
"HARVEYS, LAKE TAHOE, NV",HLT,5/13/2022,5/16/2022,DEN
"HARVEYS, LAKE TAHOE, NV",HLT,5/13/2022,5/15/2022,PHX
"HARVEYS, LAKE TAHOE, NV",HLT,5/15/2022,5/19/2022,ACV
"HARVEYS, LAKE TAHOE, NV",HLT,5/15/2022,5/20/2022,CLT
"HARVEYS, LAKE TAHOE, NV",HLT,5/16/2022,5/21/2022,ATL
"HARVEYS, LAKE TAHOE, NV",HLT,5/16/2022,5/20/2022,BFL
"HARVEYS, LAKE TAHOE, NV",HLT,5/16/2022,5/21/2022,CLE
"HARVEYS, LAKE TAHOE, NV",HLT,5/16/2022,5/21/2022,IND
"HARVEYS, LAKE TAHOE, NV",HLT,5/16/2022,5/21/2022,SDF
"HARVEYS, LAKE TAHOE, NV",HLT,5/17/2022,5/22/2022,EWR
"HARVEYS, LAKE TAHOE, NV",HLT,5/18/2022,5/23/2022,BWI
"HARVEYS, LAKE TAHOE, NV",HLT,5/18/2022,5/23/2022,BNA
"HARVEYS, LAKE TAHOE, NV",HLT,5/19/2022,5/24/2022,ATL
"HARVEYS, LAKE TAHOE, NV",HLT,5/19/2022,5/22/2022,ACV
"HARVEYS, LAKE TAHOE, NV",HLT,5/20/2022,5/23/2022,BFL
"HARVEYS, LAKE TAHOE, NV",HLT,5/20/2022,5/24/2022,DFW
"HARVEYS, LAKE TAHOE, NV",HLT,5/20/2022,5/24/2022,IAH
"HARVEYS, LAKE TAHOE, NV",HLT,5/20/2022,5/24/2022,OMA
"HARVEYS, LAKE TAHOE, NV",HLT,5/22/2022,5/26/2022,AUS
"HARVEYS, LAKE TAHOE, NV",HLT,5/22/2022,5/26/2022,ACV
"HARVEYS, LAKE TAHOE, NV",HLT,5/22/2022,5/27/2022,JFK
"HARVEYS, LAKE TAHOE, NV",HLT,5/23/2022,5/27/2022,BFL
"HARVEYS, LAKE TAHOE, NV",HLT,5/25/2022,5/30/2022,BUF
"HARVEYS, LAKE TAHOE, NV",HLT,5/25/2022,5/30/2022,ORD
"HARVEYS, LAKE TAHOE, NV",HLT,5/26/2022,5/29/2022,ACV
"HARVEYS, LAKE TAHOE, NV",HLT,5/26/2022,5/31/2022,TPA
"HARVEYS, LAKE TAHOE, NV",HLT,5/27/2022,5/30/2022,BFL
"HARVEYS, LAKE TAHOE, NV",HLT,5/28/2022,6/2/2022,BHM
"HARVEYS, LAKE TAHOE, NV",HLT,6/1/2022,6/6/2022,BWI
"HARVEYS, LAKE TAHOE, NV",HLT,6/1/2022,6/6/2022,MCI
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/7/2022,ATL
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/7/2022,CLE
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/7/2022,IND
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/7/2002,EWR
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/5/2022,OAK
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/5/2022,ONT
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/7/2022,MCO
"HARVEYS, LAKE TAHOE, NV",HLT,6/2/2022,6/7/2022,RDU
"HARVEYS, LAKE TAHOE, NV",HLT,6/3/2022,6/7/2022,AUS
"HARVEYS, LAKE TAHOE, NV",HLT,6/3/2022,6/7/2022,DFW
"HARVEYS, LAKE TAHOE, NV",HLT,6/3/2022,6/6/2022,DEN
"HARVEYS, LAKE TAHOE, NV",HLT,6/3/2022,6/7/2022,IAH
"HARVEYS, LAKE TAHOE, NV",HLT,6/3/2022,6/5/2022,PHX
"HARVEYS, LAKE TAHOE, NV",HLT,6/5/2022,6/10/2022,JFK
"HARVEYS, LAKE TAHOE, NV",HLT,6/6/2022,6/11/1955,CLT
"HARVEYS, LAKE TAHOE, NV",HLT,6/8/2022,6/13/2022,BOS
"HARVEYS, LAKE TAHOE, NV",HLT,6/9/2022,6/14/2022,BHM
"HARVEYS, LAKE TAHOE, NV",HLT,6/9/2022,6/14/2022,ORD
"HARVEYS, LAKE TAHOE, NV",HLT,6/9/2022,6/14/2022,MSY
"HARVEYS, LAKE TAHOE, NV",HLT,6/9/2022,6/14/2022,PHL
"HARVEYS, LAKE TAHOE, NV",HLT,6/9/2022,6/12/2022,SAN
"HARVEYS, LAKE TAHOE, NV",HLT,6/9/2022,6/14/2022,TPA
"HARVEYS, LAKE TAHOE, NV",HLT,6/10/2022,6/13/2022,LAS
"HARVEYS, LAKE TAHOE, NV",HLT,6/10/2022,6/12/2022,LAX
"HARVEYS, LAKE TAHOE, NV",HLT,6/10/2022,6/12/2022,SJC
"HARVEYS, LAKE TAHOE, NV",HLT,6/10/2022,6/12/2022,OAK
"HARVEYS, LAKE TAHOE, NV",HLT,6/10/2022,6/14/2022,SAT
"HARVEYS, LAKE TAHOE, NV",HLT,6/10/2022,6/12/2022,SEA
"HARVEYS, LAKE TAHOE, NV",HLT,6/12/2022,6/17/2022,ATL
"HARVEYS, LAKE TAHOE, NV",HLT,6/13/2022,6/18/2022,ORD
"HARVEYS, LAKE TAHOE, NV",HLT,6/14/2022,6/19/2022,EWR
"HARVEYS, LAKE TAHOE, NV",HLT,6/15/2022,6/20/2022,BUF
"HARVEYS, LAKE TAHOE, NV",HLT,6/15/2022,6/20/2022,DTW
"HARVEYS, LAKE TAHOE, NV",HLT,6/15/2022,6/20/2022,STL
"HARVEYS, LAKE TAHOE, NV",HLT,6/16/2022,6/21/2022,MCI
"HARVEYS, LAKE TAHOE, NV",HLT,6/16/2022,6/21/2022,BNA
