casinoCode,departingAt,arrivingAt,departingAirport
LAU,2/12/2022,2/16/2022,RDU
LAU,2/12/2022,2/16/2022,MFE
LAU,2/14/2022,2/18/2022,DTW
LAU,2/14/2022,2/18/2022,ICT
LAU,2/14/2022,2/18/2022,OKC
LAU,2/15/2022,2/19/2022,MSN
LAU,2/15/2022,2/19/2022,EAU
LAU,2/16/2022,2/20/2022,CAE
LAU,2/16/2022,2/19/2022,SAT
LAU,2/17/2022,2/21/2022,FAR
LAU,2/17/2022,2/20/2022,MRY
LAU,2/17/2022,2/20/2022,FAT
LAU,2/18/2022,2/21/2022,GCK
LAU,2/19/2022,2/23/2022,RFD
LAU,2/19/2022,2/23/2022,TUL
LAU,2/19/2022,2/23/2022,SPS
LAU,2/19/2022,2/23/2022,ELP
LAU,2/20/2022,2/24/2022,AGS
LAU,2/20/2022,2/24/2022,MCN
LAU,2/20/2022,2/24/2022,SCK
LAU,2/21/2022,2/25/2022,BIS
LAU,2/21/2022,2/25/2022,MOT
LAU,2/22/2022,2/26/2022,STL
LAU,2/23/2022,2/27/2022,GRB
LAU,2/23/2022,2/27/2022,DFW
LAU,2/24/2022,2/28/2022,SMX
LAU,2/25/2022,3/1/2022,DEN
LAU,2/26/2022,3/2/2022,BMI
LAU,2/27/2022,3/3/2022,MKE
LAU,2/27/2022,3/3/2022,GRK
LAU,2/28/2022,3/4/2022,SFB
LAU,2/28/2022,3/4/2022,PDX
LAU,3/1/2022,3/5/2022,AZA
LAU,3/2/2022,3/6/2022,IND
LAU,3/3/2022,3/7/2022,TOL
LAU,3/3/2022,3/7/2022,SBN
LAU,3/3/2022,3/7/2022,MAF
LAU,3/4/2022,3/8/2022,SEA
LAU,3/5/2022,3/9/2022,MSN
LAU,3/5/2022,3/9/2022,ALO
LAU,3/6/2022,3/10/2022,CLE
LAU,3/7/2022,3/11/2022,AUS
LAU,3/7/2022,3/11/2022,TUS
LAU,3/8/2022,3/12/2022,BHM
LAU,3/8/2022,3/12/2022,GGG
LAU,3/9/2022,3/13/2022,FWA
LAU,3/9/2022,3/13/2022,GRI
LAU,3/9/2022,3/13/2022,OAK
LAU,3/10/2022,3/14/2022,MBS
LAU,3/10/2022,3/14/2022,MLI
LAU,3/12/2022,3/16/2022,MEM
LAU,3/12/2022,3/16/2022,ACT
LAU,3/13/2022,3/17/2022,STL
LAU,3/14/2022,3/18/2022,BNA
LAU,3/15/2022,3/19/2022,CMH
LAU,3/16/2022,3/20/2022,SGF
LAU,3/16/2022,3/20/2022,LIT
LAU,3/17/2022,3/21/2022,MCI
LAU,3/18/2022,3/22/2022,TRI
LAU,3/18/2022,3/22/2022,GCK
LAU,3/20/2022,3/24/2022,MSY
LAU,3/21/2022,3/25/2022,LNK
LAU,3/21/2022,3/25/2022,FSD
LAU,3/23/2022,3/27/2022,OMA
LAU,3/24/2022,3/28/2022,HOU
LAU,3/26/2022,3/30/2022,TYS
LAU,3/27/2022,3/31/2022,DTW
LAU,3/28/2022,4/1/2022,MFE
LAU,3/28/2022,4/1/2022,ELP
LAU,3/30/2022,4/3/2022,SDF
LAU,3/31/2022,4/4/2022,TOL
LAU,3/31/2022,4/4/2022,SBN
LAU,4/2/2022,4/6/2022,MSN
LAU,4/2/2022,4/6/2022,DEN
LAU,4/3/2022,4/7/2022,FWA
LAU,4/3/2022,4/7/2022,ICT
LAU,4/5/2022,4/9/2022,DFW
LAU,4/6/2022,4/10/2022,GRB
LAU,4/8/2022,4/12/2022,STL
LAU,4/9/2022,4/13/2022,MCI
LAU,4/11/2022,4/15/2022,CLE
LAU,4/12/2022,4/16/2022,SGF
LAU,4/12/2022,4/16/2022,LIT
LAU,4/14/2022,4/18/2022,PIA
LAU,4/14/2022,4/18/2022,ALO
LAU,4/15/2022,4/19/2022,GSO
LAU,4/17/2022,4/21/2022,DSM
LAU,4/17/2022,4/21/2022,FSD
LAU,4/18/2022,4/22/2022,MKE
LAU,4/20/2022,4/24/2022,SAT
LAU,4/21/2022,4/25/2022,FAR
